query_name,query_string
immuno,"TITLE-ABS-KEY (immunotherap*) OR TITLE-ABS-KEY (""immuno engineering"") OR TITLE-ABS-KEY (""immunoengineering"")"
all_articles,"PUBYEAR > 1"
life_sciences,"PUBYEAR > 1 AND ( LIMIT-TO ( SUBJAREA , ""MEDI"" ) OR LIMIT-TO ( SUBJAREA , ""BIOC"" ) OR LIMIT-TO ( SUBJAREA , ""IMMU"" ) OR LIMIT-TO ( SUBJAREA , ""PHAR"" ) OR LIMIT-TO ( SUBJAREA , ""AGRI"" ) OR LIMIT-TO ( SUBJAREA , ""NEUR""))"
cancer_vaccine,"TITLE-ABS-KEY(""Cancer Vaccin*"")"
car_t_cell,"TITLE-ABS-KEY(""chimeric antigen receptor"")"
til,"TITLE-ABS-KEY(""Tumor-infiltrating lymphocytes"") OR TITLE-ABS-KEY(""Lymphocytes, Tumor-Infiltrating"")"
nk_cell,"(TITLE-ABS-KEY(""NK therap*"") OR TITLE-ABS-KEY(""Natural Killer Cel*"") OR TITLE-ABS-KEY(""Killer Cells, Natural""))"
macrophage,"TITLE-ABS-KEY(macrophag*)"
checkpoint_inhibitors,"TITLE-ABS-KEY(""checkpoint inhibit*"")"
oncolytic_virus,"(TITLE-ABS-KEY(""oncolytic virus*"") OR TITLE-ABS-KEY(""Oncolytic Virotherap*"") OR TITLE-ABS-KEY(""Oncolytic Adenovirus*"") OR TITLE-ABS-KEY(virotherapy))"
monoclonal_antibodies,"(TITLE-ABS-KEY(""Monoclonal Antibod*"") OR TITLE-ABS-KEY(""Antibodies, Monoclonal""))"
adcs,"(TITLE-ABS-KEY(""Antibody-drug conjugat*"") OR TITLE-ABS-KEY(""Antibody drug conjugat*""))"

